	7.50	1.50
	3.50	19.50
	17.50	5.51
	3.50	17.50
	5.50	3.50
	7.50	17.50
	1.50	15.50
	13.50	11.51
	17.50	7.50
	5.50	5.50
	5.50	17.50
	13.51	3.50
	9.50	19.50
	11.50	5.50
	1.50	11.50
	17.51	15.50
	3.50	13.50
	15.50	9.50
	15.50	11.50
	1.50	5.50
	1.50	13.50
	9.50	7.50
	5.50	13.50
	17.50	11.50
	7.50	5.50
	1.50	1.50
	11.50	15.50
	17.50	3.50
	15.50	13.50
	9.50	1.51
	15.50	5.50
	19.50	15.50
	19.50	13.51
	19.50	1.50
	13.50	5.50
	15.50	1.50
	1.50	7.50
	9.50	15.50
	9.50	11.50
	19.50	3.50
	17.50	17.50
	17.50	9.50
	5.50	11.50
	9.50	9.50
	13.50	17.50
	13.49	19.50
	19.50	7.50
	17.50	1.50
	7.50	9.50
	19.50	19.50
	19.50	11.50
	11.50	17.50
	11.50	13.51
	15.50	19.50
	15.50	3.50
	19.50	17.50
	19.50	5.50
	1.50	17.50
	3.50	1.49
	7.50	11.51
	3.49	7.50
	15.50	17.50
	19.50	9.50
	15.50	7.50
	13.50	7.50
	13.49	9.50
	5.50	7.50
	13.50	13.50
	9.50	5.50
	11.50	19.50
	11.50	1.50
	11.50	7.50
	9.50	3.50
	11.50	11.50
	5.50	1.50
	7.50	19.50
	3.50	5.50
	17.50	19.50
	1.50	19.49
	13.50	15.50
	9.51	17.50
	1.50	3.50
	3.50	9.50
	7.50	15.50
	7.50	7.50
	17.50	13.50
	3.50	11.50
	1.50	9.50
	5.50	9.50
	3.50	3.49
	7.50	3.50
	13.50	1.50
	9.50	13.50
	15.49	15.50
	5.50	15.50
	5.50	19.50
	11.50	3.49
	7.50	13.50
	3.50	15.50
	11.50	9.50
